Country,Rank,Artist,Song Count
AE,1,Taylor Swift,375
AE,2,The Weeknd,358
AE,3,Jung Kook,282
AE,4,Arijit Singh,166
AE,5,Metro Boomin,161
AR,1,Emilia,521
AR,2,Milo j,514
AR,3,Maria Becerra,380
AR,4,BM,371
AR,5,Big One,368
AT,1,AYLIVA,162
AT,2,Taylor Swift,116
AT,3,Niklas Dee,112
AT,4,Ski Aggu,110
AT,5,Tate McRae,82
AU,1,Taylor Swift,454
AU,2,Zach Bryan,164
AU,3,Doja Cat,145
AU,4,Luke Combs,143
AU,5,SZA,139
BE,1,Gazo,220
BE,2,Taylor Swift,144
BE,3,Dua Lipa,118
BE,4,Billie Eilish,111
BE,5,Tate McRae,99
BG,1,Medi,287
BG,2,Dimoff,225
BG,3,Djordan,210
BG,4,Galin,210
BG,5,The Weeknd,198
BO,1,Grupo Frontera,568
BO,2,Feid,468
BO,3,Peso Pluma,421
BO,4,Bad Bunny,410
BO,5,Ke Personajes,324
BR,1,Ana Castela,440
BR,2,Simone Mendes,308
BR,3,Gusttavo Lima,228
BR,4,MC PH,212
BR,5,Luan Pereira,212
BY,1,Кишлак,280
BY,2,Aarne,267
BY,3,Toxi$,232
BY,4,Big Baby Tape,223
BY,5,Scally Milano,210
CA,1,Taylor Swift,387
CA,2,Drake,284
CA,3,SZA,160
CA,4,Morgan Wallen,147
CA,5,Zach Bryan,144
CH,1,Gazo,96
CH,2,Taylor Swift,88
CH,3,David Guetta,85
CH,4,Tate McRae,80
CH,5,Eminem,76
CL,1,Jere Klein,609
CL,2,Cris Mj,425
CL,3,KAROL G,373
CL,4,Gino Mella,282
CL,5,Bad Bunny,273
CO,1,Feid,1105
CO,2,KAROL G,505
CO,3,Bad Bunny,501
CO,4,Ryan Castro,294
CO,5,Peso Pluma,279
CR,1,Bad Bunny,907
CR,2,Feid,543
CR,3,KAROL G,411
CR,4,Grupo Frontera,380
CR,5,Carin Leon,301
CZ,1,Viktor Sheen,1019
CZ,2,Calin,603
CZ,3,STEIN27,193
CZ,4,P T K,193
CZ,5,Ben Cristovao,180
DE,1,AYLIVA,238
DE,2,Niklas Dee,109
DE,3,Jazeek,102
DE,4,Ski Aggu,99
DE,5,Pashanim,89
DK,1,Gilli,247
DK,2,Lamin,205
DK,3,D1MA,194
DK,4,Gobs,179
DK,5,KESI,130
DO,1,Bad Bunny,1542
DO,2,KAROL G,324
DO,3,Eladio Carrion,288
DO,4,Feid,259
DO,5,Young Miko,193
EC,1,Bad Bunny,796
EC,2,Feid,718
EC,3,Peso Pluma,310
EC,4,KAROL G,288
EC,5,Young Miko,217
EE,1,nublu,396
EE,2,villemdrillem,214
EE,3,Taylor Swift,163
EE,4,The Weeknd,119
EE,5,Kanye West,103
EG,1,Essam Sasa,469
EG,2,Muslim - مُسلِم,262
EG,3,Marwan Pablo,247
EG,4,Tamer Ashour,194
EG,5,Ahmed Saad,151
ES,1,Saiko,539
ES,2,Quevedo,498
ES,3,Bad Bunny,415
ES,4,Feid,385
ES,5,Mora,343
FI,1,ibe,515
FI,2,Costi,261
FI,3,Lauri Haav,204
FI,4,KUUMAA,169
FI,5,Cledos,153
FR,1,Gazo,512
FR,2,Tiakola,360
FR,3,Werenoi,274
FR,4,PLK,149
FR,5,Jul,147
GB,1,Taylor Swift,374
GB,2,Olivia Rodrigo,158
GB,3,Chase & Status,127
GB,4,Doja Cat,103
GB,5,Drake,98
GR,1,Beyond,640
GR,2,TOQUEL,619
GR,3,RACK,378
GR,4,Kidd,327
GR,5,Light,325
GT,1,Peso Pluma,631
GT,2,Bad Bunny,627
GT,3,Grupo Frontera,500
GT,4,Fuerza Regida,374
GT,5,Feid,322
HK,1,Keung To,513
HK,2,陳卓賢 Ian,504
HK,3,MC 張天賦,465
HK,4,Anson Lo 盧瀚霆,343
HK,5,Jung Kook,286
HN,1,Bad Bunny,1206
HN,2,Feid,370
HN,3,Peso Pluma,352
HN,4,Grupo Frontera,338
HN,5,Carin Leon,226
HU,1,Azahriah,1453
HU,2,DESH,1117
HU,3,Young Fly,341
HU,4,Ekhoe,271
HU,5,Krúbi,161
ID,1,Hindia,248
ID,2,Nadin Amizah,217
ID,3,James Arthur,150
ID,4,Feby Putri,150
ID,5,Virgoun,150
IE,1,Taylor Swift,366
IE,2,Noah Kahan,178
IE,3,Olivia Rodrigo,170
IE,4,Zach Bryan,141
IE,5,Tate McRae,96
IL,1,Eden Hason,487
IL,2,Jasmin Moallem,406
IL,3,Osher Cohen,307
IL,4,Omer Adam,274
IL,5,Eyal Golan,251
IN,1,Arijit Singh,1030
