name,artists,daily_rank,country,snapshot_date,album_name,danceability,energy,acousticness,valence
Love Somebody,Morgan Wallen,1,US,2024-10-21,Love Somebody,0.619,0.843,0.00948,0.746
Die With A Smile,"Lady Gaga, Bruno Mars",2,US,2024-10-21,Die With A Smile,0.521,0.592,0.308,0.535
Taste,Sabrina Carpenter,3,US,2024-10-21,Short n' Sweet,0.674,0.907,0.101,0.721
BIRDS OF A FEATHER,Billie Eilish,4,US,2024-10-21,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
APT.,"ROSÉ, Bruno Mars",5,US,2024-10-21,APT.,0.777,0.783,0.0283,0.939
"Good Luck, Babe!",Chappell Roan,6,US,2024-10-21,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
Who,Jimin,7,US,2024-10-21,MUSE,0.66,0.756,0.00289,0.838
Espresso,Sabrina Carpenter,8,US,2024-10-21,Short n' Sweet,0.699,0.776,0.131,0.708
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",9,US,2024-10-21,Timeless,0.769,0.722,0.0584,0.57
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",10,US,2024-10-21,F-1 Trillion,0.644,0.874,0.0113,0.753
A Bar Song (Tipsy),Shaboozey,11,US,2024-10-21,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
Sailor Song,Gigi Perez,12,US,2024-10-21,Sailor Song,0.494,0.413,0.682,0.273
HOT TO GO!,Chappell Roan,13,US,2024-10-21,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
Please Please Please,Sabrina Carpenter,14,US,2024-10-21,Short n' Sweet,0.675,0.586,0.257,0.621
Bed Chem,Sabrina Carpenter,15,US,2024-10-21,Short n' Sweet,0.739,0.727,0.0678,0.676
"I Love You, I'm Sorry",Gracie Abrams,16,US,2024-10-21,The Secret of Us,0.53,0.406,0.656,0.338
Pink Pony Club,Chappell Roan,17,US,2024-10-21,The Rise and Fall of a Midwest Princess,0.61,0.65,0.399,0.507
Beautiful Things,Benson Boone,18,US,2024-10-21,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
WILDFLOWER,Billie Eilish,19,US,2024-10-21,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Not Like Us,Kendrick Lamar,20,US,2024-10-21,Not Like Us,0.898,0.472,0.0107,0.214
MILLION DOLLAR BABY,Tommy Richman,21,US,2024-10-21,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Lose Control,Teddy Swims,22,US,2024-10-21,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",23,US,2024-10-21,Flower Boy,0.558,0.559,0.371,0.62
Night Changes,One Direction,24,US,2024-10-21,FOUR (Deluxe),0.672,0.52,0.859,0.37
